date,state,fips,cases,deaths
3/8/2023,Arizona,4,2444144,33103
3/8/2023,Arkansas,5,1006622,13019
3/8/2023,California,6,12114454,103764
3/8/2023,Colorado,8,1765362,14181
3/8/2023,Connecticut,9,976494,12196
3/8/2023,Delaware,10,330793,3324
3/8/2023,District of Columbia,11,177714,1430
3/8/2023,Florida,12,7531055,86850
3/8/2023,Georgia,13,2979279,40974
3/8/2023,Guam,66,61951,421
3/8/2023,Hawaii,15,371456,1838
3/8/2023,Idaho,16,521202,5430
3/8/2023,Illinois,17,4080247,41443
3/8/2023,Indiana,18,2051104,26091
3/8/2023,Iowa,19,903991,10727
3/8/2023,Kansas,20,938176,10192
3/8/2023,Kentucky,21,1718471,18224
3/8/2023,Louisiana,22,1573810,18766
3/8/2023,Maine,23,318130,2940
3/8/2023,Maryland,24,1365143,16583
3/8/2023,Massachusetts,25,2220962,24249
3/8/2023,Michigan,26,3054792,42150
3/8/2023,Minnesota,27,1775264,14820
3/8/2023,Mississippi,28,990756,13395
3/8/2023,Missouri,29,1788176,23884
3/8/2023,Montana,30,329637,3675
3/8/2023,Nebraska,31,567735,5046
3/8/2023,Nevada,32,888983,12059
3/8/2023,New Hampshire,33,378114,3002
3/8/2023,New Jersey,34,3048211,36049
3/8/2023,New Mexico,35,670688,9076
3/8/2023,New York,36,6788050,79701
3/8/2023,North Carolina,37,3472644,29576
3/8/2023,North Dakota,38,286950,2512
3/8/2023,Northern Mariana Islands,69,13395,41
3/8/2023,Ohio,39,3392320,41875
3/8/2023,Oklahoma,40,1287378,16417
3/8/2023,Oregon,41,963565,9378
3/8/2023,Pennsylvania,42,3527854,50477
3/8/2023,Puerto Rico,72,1134208,5820
3/8/2023,Rhode Island,44,460045,3896
3/8/2023,South Carolina,45,1836568,20081
3/8/2023,South Dakota,46,279130,3210
3/8/2023,Tennessee,47,2451936,28971
3/8/2023,Texas,48,8350220,94241
3/8/2023,Utah,49,1089173,5287
3/8/2023,Vermont,50,152618,929
3/8/2023,Virgin Islands,78,24798,130
3/8/2023,Virginia,51,2291951,23755
3/8/2023,Washington,53,1928913,15747
3/8/2023,West Virginia,54,643270,8091
3/8/2023,Wisconsin,55,2005883,16425
3/8/2023,Wyoming,56,185385,2004
3/9/2023,Alabama,1,1644533,21570
3/9/2023,Alaska,2,307958,1438
3/9/2023,American Samoa,60,8320,34
3/9/2023,Arizona,4,2444144,33104
3/9/2023,Arkansas,5,1006883,13026
3/9/2023,California,6,12131977,103987
3/9/2023,Colorado,8,1765792,14182
3/9/2023,Connecticut,9,976657,12220
3/9/2023,Delaware,10,330793,3324
3/9/2023,District of Columbia,11,177945,1432
3/9/2023,Florida,12,7531055,86850
3/9/2023,Georgia,13,2979279,40978
3/9/2023,Guam,66,61951,421
3/9/2023,Hawaii,15,371456,1838
3/9/2023,Idaho,16,521240,5430
3/9/2023,Illinois,17,4090398,41496
3/9/2023,Indiana,18,2051104,26115
3/9/2023,Iowa,19,903991,10727
3/9/2023,Kansas,20,938176,10196
3/9/2023,Kentucky,21,1718471,18241
3/9/2023,Louisiana,22,1573810,18766
3/9/2023,Maine,23,318130,2945
3/9/2023,Maryland,24,1365574,16613
3/9/2023,Massachusetts,25,2224337,24333
3/9/2023,Michigan,26,3054792,42150
3/9/2023,Minnesota,27,1778866,14870
3/9/2023,Mississippi,28,990756,13405
3/9/2023,Missouri,29,1788340,23922
3/9/2023,Montana,30,329637,3677
3/9/2023,Nebraska,31,567735,5050
3/9/2023,Nevada,32,890126,12067
3/9/2023,New Hampshire,33,378428,3006
3/9/2023,New Jersey,34,3048984,36054
3/9/2023,New Mexico,35,670929,9081
3/9/2023,New York,36,6789563,79986
3/9/2023,North Carolina,37,3472644,29677
3/9/2023,North Dakota,38,286950,2517
