fips,cases
27063,2653
27065,4332
27067,15865
27069,1242
27071,3700
27073,2189
27075,2638
27077,921
27079,7476
27081,1515
27083,8268
27087,2174
27089,2514
27091,6652
27085,13000
27093,7140
27095,8382
27097,11124
27099,13827
27101,2393
27103,9851
27105,8142
27107,1794
27109,52865
27111,16299
27113,4304
27115,8541
27117,2384
27119,10631
27121,3958
27123,158792
27125,1064
27127,4727
27129,4531
27131,20687
27133,2778
27135,5050
27139,47792
27141,31900
27143,4242
27137,60331
27145,61383
27147,12009
27149,3305
27151,2720
27153,8431
27155,1017
,912
27157,6657
27159,5207
27161,6360
27163,82319
27165,3441
27167,1943
27169,15836
27171,42653
27173,3131
28001,8581
28003,12792
28005,3879
28007,6787
28009,2815
28011,11607
28013,5583
28015,3079
28017,7006
28019,2892
28021,2563
28023,4885
28025,6211
28027,8182
28029,9233
28031,8671
28033,61426
28035,27483
28037,2367
28039,8772
28041,3895
28043,6419
28045,14945
28047,66005
28049,67894
28051,5242
28053,2386
28055,307
28057,9442
28059,45879
28061,6150
28063,1791
28065,3665
28067,26480
28069,2636
28071,18921
28073,22024
28075,22065
28077,4564
28079,7686
28081,33952
28083,8663
28085,10493
28087,21289
28089,31797
28091,8787
28093,12037
28095,13757
28097,3696
28099,12860
28101,7131
28103,3632
28105,13757
28107,12437
28109,17813
28111,3752
28113,12815
28115,12825
28117,10235
28119,1833
28121,46941
28123,7882
28125,1169
28127,8667
28129,5062
28131,6723
28133,7087
28135,3879
28137,8698
28139,8938
28141,7713
28143,3057
28145,11622
28147,4686
28149,12800
28151,12998
28153,6965
28155,4066
28157,1943
28159,6736
28161,4831
28163,10048
29001,6714
29003,5654
29005,1815
29007,6848
29009,7941
29011,3365
29013,4455
29015,5487
29017,3256
29019,55385
29021,29689
29023,12401
29025,2073
29027,14376
29029,10860
29031,23400
29033,2684
29035,1747
29037,30149
29039,3729
29041,1995
29043,24923
29045,1920
29047,33489
29049,5744
29051,23938
29053,4786
29055,6554
29057,1810
29059,4688
29061,2023
29063,2548
29065,3956
29067,3057
29069,9706
29071,31378
29073,4086
29075,2687
29077,84825
29079,3131
29081,2465
29083,7056
29085,2404
29087,1314
29089,2957
29091,10976
29093,2691
29095,117968
29097,24335
29099,67734
29101,14697
,16427
,139510
29103,1184
29105,9605
29107,9238
29109,9284
29111,3359
29113,18454
29115,3167
29117,4451
29121,4263
29123,4258
29125,1956
29127,9778
29119,6623
29129,903
29131,7058
29133,4414
29135,4365
29137,2503
29139,3109
29141,4909
29143,6094
29145,13801
29147,7639
29149,2424
29151,3768
29153,2034
29155,3784
29157,6325
29159,14912
29161,12870
29163,5204
29165,12789
29167,9917
29169,10764
29171,1175
29173,2944
29175,7183
29177,6198
29179,1384
29181,3192
29195,7219
29197,891
29199,837
29201,13847
29203,1913
29205,2069
29183,129955
29185,2616
29187,23469
29189,293890
29510,76036
29186,4838
29207,7173
29209,6935
29211,2045
29213,16041
29215,5642
29217,6143
29219,9906
29221,7073
29223,2971
29225,10339
29227,561
29229,4578
30001,2464
30003,5856
30005,2588
30007,1542
30009,2460
30011,290
30013,29998
30015,1356
30017,3514
30019,483
30021,2765
30023,3237
30025,798
30027,2961
30029,33801
30031,41767
30033,251
30035,4712
30037,176
30039,671
30041,5389
30043,3144
30045,283
30047,8306
30049,21833
30051,528
30053,5618
30057,2389
30055,451
30059,597
30061,1365
30063,33925
30065,1106
30067,5124
30069,43
30071,1145
30073,1476
30075,417
30077,2213
30079,292
30081,8478
30083,3002
30085,3998
30087,3112
30089,2423
30091,912
30093,9910
30095,1726
30097,912
30099,1538
30101,1410
30103,148
30105,2158
30107,459
30109,246
30111,51195
31001,7811
31003,1294
31005,34
31007,103
31009,76
31011,1267
31013,2516
31015,480
31017,654
31019,14272
31021,1542
31023,2316
31025,7276
31027,1751
31029,888
31031,635
31033,2399
31035,1737
31037,2968
31039,2043
31041,2394
31043,7964
31045,1512
31047,5959
31049,360
31051,1405
31053,12022
31055,181104
31057,407
31059,1319
31061,504
31063,618
31065,1321
31067,4582
31069,485
31071,468
31073,451
31075,114
31077,469
31079,19481
31081,2808
31083,394
31085,109
31087,633
31089,2606
31091,128
31093,1333
31095,1432
31097,945
31099,1404
31101,1790
31103,136
31105,830
31107,1964
31109,94489
31111,10776
31113,163
31115,92
31119,11542
31117,77
31121,2072
31123,1351
31125,890
31127,1596
31129,1103
31131,3899
31133,517
31135,578
31137,2769
31139,1535
31141,10364
31143,1379
31145,2704
31147,2282
31149,194
31151,4440
31153,58766
31155,5584
31157,11380
31159,3753
31161,1139
31163,686
31165,82
31167,757
31169,1297
31171,113
31173,2124
31175,874
31177,5485
31179,2142
31181,848
31183,139
31185,4712
32510,17415
32001,7617
32003,670318
32005,8803
32007,12907
32009,124
32011,193
32013,2792
32015,1350
32017,681
32019,12252
32021,1502
32023,9147
32027,2359
32029,196
,10325
32031,128045
32033,1777
33001,17428
33003,12278
33005,19052
33007,8322
33009,23265
33011,121338
33013,40159
33015,84405
33017,36979
33019,11859
,2350
34001,91544
34003,325886
34005,141507
34007,169122
34009,30439
34011,52735
34013,291409
34015,91401
34017,238242
34019,34629
34021,111222
34023,275250
34025,223241
34027,165545
34029,215601
34031,193239
34033,18517
34035,98057
34037,45589
34039,196190
,1642
34041,32082
35001,196795
35003,530
35005,25072
35006,10160
35007,3075
35009,15350
35011,753
35013,77017
35015,19262
35017,9856
35019,1743
35021,103
35023,1339
35025,23885
35027,6587
35028,4583
35029,8008
35031,33171
35033,985
35035,19254
35037,2559
35039,13323
35041,6208
35045,52344
35047,7649
35043,44945
35049,40465
35051,2490
35053,4740
35055,7281
35057,3772
35059,1153
,509
35061,24510
36001,79215
36003,10855
36007,59065
36009,19359
36011,20602
36013,29647
36015,26775
36017,11882
36019,22826
36021,14006
36023,13516
36025,10229
36027,85330
36029,270646
36031,7778
36033,12174
36035,16716
36037,16683
36039,11099
36041,1104
36043,17581
36045,27404
36049,7399
36051,14475
36053,16926
36055,193170
36057,15126
36059,550240
,3241767
36063,59894
36065,69505
36067,143388
36069,26328
36071,140530
36073,10633
36075,34866
36077,13397
36079,31743
36083,42020
36087,119066
36091,61886
36093,43954
36095,6632
36097,4345
36099,7719
36089,26466
36101,25458
36103,568986
36105,24800
36107,14148
36109,26771
36111,43464
36113,19043
36115,15973
36117,22031
36119,336263
36121,9988
36123,4465
37001,61797
37003,12765
37005,3756
37007,8459
37009,7616
37011,5551
37013,16077
37015,5465
37017,12117
37019,41066
37021,70919
37023,31964
37025,72202
37027,30324
37029,2202
37031,18514
37033,6619
37035,60541
37037,18173
37039,8792
37041,5286
37043,3476
37045,36770
37047,19224
37049,32113
37051,115949
37053,6304
37055,10031
37057,56147
37059,14891
37061,20941
37063,103110
37065,17582
37067,125394
37069,26466
37071,81833
37073,2454
37075,2967
37077,19600
37079,7198
37081,160477
37083,18849
37085,42759
37087,17189
37089,33254
37091,6372
37093,19508
37095,1703
37097,61783
37099,12157
37101,75731
37103,2915
37105,20121
37107,20294
37109,30334
37113,9799
37115,6300
37117,7613
37111,17341
37119,367822
37121,4774
37123,9022
37125,31668
37127,32650
37129,64508
37131,5915
37133,65188
37135,39333
37137,3462
37139,10681
37141,18734
37143,3561
37145,12171
37147,66952
37149,5041
37151,44621
37153,16444
37155,52159
37157,27622
37159,51603
37161,21671
37163,23537
37165,12856
37167,24063
37169,15598
37171,28622
37173,4999
37175,8360
37177,1227
37179,79315
37181,15859
37183,391064
37185,5841
37187,3905
37189,15070
37191,41921
37193,23021
37195,27731
37197,15143
37199,6338
38001,689
38003,3593
38005,2286
38007,169
38009,1880
38011,932
38013,491
38015,41057
38017,71169
38019,975
38021,1792
38023,597
38025,1197
38027,895
38029,839
38031,1163
38033,513
38035,26895
38037,555
38039,677
38041,957
38043,595
38045,1165
38047,557
38049,1571
38051,895
38053,3645
38055,3178
38057,2993
38059,13219
38061,3866
38063,930
38065,377
38067,2389
38069,1249
38071,4349
38073,1921
38075,664
38077,4791
38079,7881
38081,1294
38083,345
38085,1648
38087,71
38089,13801
38091,436
38093,8246
38095,757
38097,2482
,0
38099,4108
38101,24040
38103,1219
38105,12244
69100,422
69110,12574
69120,399
39001,8876
39003,33777
39005,14856
39007,25727
39009,19905
39011,14198
39013,19180
39015,14094
39017,116234
39019,6304
39021,10741
39023,43355
39025,65277
39027,12769
39029,29605
39031,10056
39033,14166
39035,348323
39037,15042
39039,12363
39041,55894
39043,24901
39045,47283
39047,9370
39049,365109
39051,12531
39053,10436
39055,20427
39057,48250
39059,13606
39061,237212
39063,21242
39065,8793
39067,4112
39069,7803
39071,13459
39073,8602
39075,5805
39077,17937
39079,11776
39081,18716
39083,16498
39085,61649
39087,24305
39089,52684
39091,12711
39093,89179
39095,125492
39097,11564
39099,67046
39101,24424
39103,50650
39105,6366
39107,11315
39109,31830
39111,4211
39113,161609
39115,4099
39117,9382
39119,31541
39121,3901
39123,10796
39125,5540
39127,10306
39129,21207
39131,9976
39133,44069
39135,11618
39137,9891
39139,39137
39141,24934
39143,17473
39145,27719
39147,15692
39149,13259
39151,97544
39153,142585
39155,52420
39157,25312
39159,19858
39161,8139
39163,3684
39165,72386
39167,15444
39169,28443
39171,11834
39173,38515
39175,6646
40001,9796
40003,1879
40005,4699
40007,1177
40009,7266
40011,2925
40013,17296
40015,10147
40017,48169
40019,19305
40021,17492
40023,5047
40025,707
40027,100169
40029,2112
40031,39231
40033,1689
40035,5973
40037,22610
40039,9703
40041,13658
40043,1230
40045,1037
40047,18020
40049,8598
40051,17090
40053,1258
40055,1590
40057,899
40059,837
40061,3313
40063,3094
40065,8236
40067,1598
40069,3905
40071,15664
40073,4844
40075,2402
40077,2711
40079,15519
40081,9891
40083,13568
40085,3965
40093,2532
40095,5657
40097,13255
40087,14725
40089,9709
40091,5551
40099,5325
40101,24311
40103,3598
40105,3221
40107,4237
40109,243941
40111,11662
40113,13842
40115,11617
40117,5050
40119,23169
40121,13807
40123,16564
40125,26719
40127,3260
40129,1114
40131,31483
40133,7701
40135,12914
40137,13480
40139,7029
40141,1819
40143,211843
,153
40145,26968
40147,15705
40149,3279
40151,2721
40153,6170
41001,3837
41003,22143
41005,84167
41007,6357
41009,10149
41011,14934
41013,7937
41015,4666
41017,61624
41019,26014
41021,323
41023,2236
41025,1971
41027,4656
41029,54465
41031,9055
41033,20935
41035,17903
41037,1653
41039,79593
41041,9322
41043,33323
41045,9702
41047,88147
41049,3398
41051,171161
41053,20533
41055,390
41057,5024
41059,26461
41061,5834
,4
41063,1574
41065,6699
41067,122183
41069,303
41071,22847
42001,31571
42003,339278
42005,18359
42007,48961
42009,12829
42011,126762
42013,35128
42015,20706
42017,156184
42019,55115
42021,43370
42023,1026
42025,20204
42027,44096
42029,117738
42031,9900
42033,24365
42035,11150
42037,19666
42039,24824
42041,62958
42043,72549
42045,141708
42047,8586
42049,71921
42051,38968
42053,2546
42055,51554
42057,5064
42059,10673
42061,13861
42063,21841
42065,11227
42067,5739
42069,59044
42071,150606
42073,23140
42075,45581
42077,111477
42079,94667
42081,34912
42083,9800
42085,28320
42087,15135
42089,48095
42091,199904
42093,5972
42095,100002
42097,28625
42099,10417
42101,393989
42103,13406
42105,3877
42107,42583
42109,9740
42111,22228
42113,1388
42115,10110
42117,10165
42119,13541
42121,13805
42123,9711
42125,63537
42127,13334
42129,99118
42131,6548
42133,147609
72001,6946
72003,13002
72005,16653
72007,8537
72009,8558
72011,8564
72013,30118
72015,5815
72017,7785
72019,9926
72021,68844
72023,14513
72025,45385
72027,11651
72029,13422
72031,52714
72033,7646
72035,15028
72037,3379
72039,5480
72041,14504
72043,12002
72045,6197
72047,12618
72049,545
72051,12967
72053,10086
72054,5054
72055,4001
72057,12445
72059,6063
