name,fips,cases
New Hampshire,33003.0,12343.0
Ohio,39019.0,6373.0
Tennessee,47017.0,11725.0
Virginia,51035.0,9813.0
Texas,48065.0,1547.0
Nevada,32510.0,17491.0
Kentucky,21043.0,12095.0
Missouri,29035.0,1764.0
Montana,30011.0,291.0
Oklahoma,40019.0,19490.0
Tennessee,47019.0,21706.0
North Carolina,37031.0,18562.0
Minnesota,27019.0,32130.0
Montana,30013.0,30145.0
Kentucky,21045.0,5423.0
Illinois,17017.0,5635.0
Indiana,18017.0,14095.0
Iowa,19029.0,3344.0
Michigan,26027.0,13171.0
Minnesota,27021.0,8685.0
Missouri,29037.0,30271.0
Nebraska,31025.0,7330.0
North Dakota,38017.0,71476.0
Texas,48067.0,8918.0
Idaho,16031.0,5624.0
Texas,48069.0,2711.0
North Carolina,37033.0,6659.0
Louisiana,22025.0,3151.0
Puerto Rico,72033.0,7699.0
North Carolina,37035.0,60825.0
Georgia,13047.0,17116.0
New Mexico,35003.0,530.0
New York,36009.0,19476.0
North Dakota,38019.0,981.0
Puerto Rico,72035.0,15119.0
New York,36011.0,20724.0
Maryland,24015.0,20444.0
Iowa,19031.0,5044.0
Missouri,29039.0,3764.0
Nebraska,31027.0,1779.0
Puerto Rico,72037.0,3404.0
Pennsylvania,42027.0,44404.0
Iowa,19033.0,12803.0
Colorado,8015.0,5677.0
Alabama,1017.0,10890.0
Texas,48071.0,13159.0
Illinois,17019.0,86277.0
Ohio,39021.0,10834.0
Missouri,29041.0,1998.0
Maryland,24017.0,38829.0
Virginia,51036.0,1724.0
South Dakota,46023.0,3774.0
South Carolina,45019.0,139537.0
Michigan,26029.0,5890.0
Florida,12015.0,48782.0
Virginia,51037.0,3444.0
Virginia,51540.0,12494.0
Georgia,13049.0,3494.0
Kansas,20017.0,798.0
Nebraska,31029.0,891.0
Georgia,13051.0,79936.0
North Carolina,37037.0,18290.0
Georgia,13053.0,7937.0
Georgia,13055.0,7620.0
Kansas,20019.0,1002.0
New York,36013.0,29873.0
New Mexico,35005.0,25115.0
Tennessee,47021.0,13228.0
Michigan,26031.0,5833.0
Washington,53007.0,24268.0
New York,36015.0,26919.0
New York,36017.0,11963.0
Alabama,1019.0,6772.0
Georgia,13057.0,75977.0
Iowa,19035.0,3596.0
Kansas,20021.0,7467.0
North Carolina,37039.0,8794.0
Oklahoma,40021.0,17606.0
South Carolina,45021.0,18560.0
Texas,48073.0,9179.0
Nebraska,31031.0,640.0
Virginia,51550.0,64517.0
New Hampshire,33005.0,19192.0
Pennsylvania,42029.0,118209.0
South Carolina,45023.0,12734.0
Tennessee,47023.0,7184.0
South Carolina,45025.0,14998.0
Virginia,51041.0,100336.0
Colorado,8017.0,393.0
Kansas,20023.0,736.0
Nebraska,31033.0,2411.0
Iowa,19037.0,3169.0
Mississippi,28017.0,7028.0
Arkansas,5017.0,3125.0
Texas,48075.0,3192.0
Alabama,1021.0,13028.0
Michigan,26033.0,13438.0
Minnesota,27023.0,3835.0
Wisconsin,55017.0,22295.0
Minnesota,27025.0,17332.0
Vermont,50007.0,40056.0
Alabama,1023.0,2259.0
Mississippi,28019.0,2910.0
Oklahoma,40023.0,5118.0
Montana,30015.0,1365.0
North Carolina,37041.0,5306.0
Illinois,17021.0,13073.0
Kentucky,21047.0,20232.0
Missouri,29043.0,25036.0
Nevada,32001.0,7632.0
Puerto Rico,72039.0,5526.0
New Mexico,35006.0,10301.0
Puerto Rico,72041.0,14596.0
Oklahoma,40025.0,730.0
Florida,12017.0,39071.0
Oregon,41005.0,84627.0
Louisiana,22027.0,4139.0
Mississippi,28021.0,2574.0
Tennessee,47025.0,11293.0
Washington,53009.0,15891.0
Michigan,26035.0,8224.0
South Carolina,45027.0,10819.0
Pennsylvania,42031.0,9958.0
Arkansas,5019.0,6426.0
Idaho,16033.0,118.0
Illinois,17023.0,5958.0
Indiana,18019.0,41423.0
Kansas,20025.0,614.0
Kentucky,21049.0,14589.0
Missouri,29045.0,1924.0
Nevada,32003.0,673021.0
Ohio,39023.0,43809.0
South Dakota,46025.0,982.0
Washington,53011.0,112711.0
Wisconsin,55019.0,9166.0
Alabama,1025.0,8560.0
Georgia,13059.0,35440.0
Iowa,19039.0,2708.0
Mississippi,28023.0,4896.0
Virginia,51043.0,3525.0
Oregon,41007.0,6400.0
Alabama,1027.0,5179.0
Arkansas,5021.0,5154.0
Florida,12019.0,67274.0
Georgia,13061.0,628.0
Illinois,17025.0,5974.0
Indiana,18021.0,8161.0
Iowa,19041.0,4868.0
Kansas,20027.0,2453.0
Kentucky,21051.0,9752.0
Minnesota,27027.0,23809.0
Mississippi,28025.0,6233.0
Missouri,29047.0,33646.0
Nebraska,31035.0,1753.0
North Carolina,37043.0,3495.0
South Dakota,46027.0,3967.0
Tennessee,47027.0,2663.0
Texas,48077.0,2499.0
West Virginia,54015.0,2728.0
Georgia,13063.0,78157.0
Iowa,19043.0,4057.0
Colorado,8019.0,1936.0
Pennsylvania,42033.0,24536.0
Idaho,16035.0,2701.0
Minnesota,27029.0,2550.0
Alabama,1029.0,4437.0
Arkansas,5023.0,8065.0
Ohio,39025.0,65768.0
Arkansas,5025.0,2684.0
North Carolina,37045.0,36890.0
Oklahoma,40027.0,100776.0
Georgia,13065.0,2459.0
Illinois,17027.0,14425.0
Indiana,18023.0,10728.0
Iowa,19045.0,13909.0
Kentucky,21053.0,4808.0
Michigan,26037.0,28272.0
Missouri,29049.0,5759.0
New York,36019.0,23051.0
Ohio,39027.0,12866.0
Pennsylvania,42035.0,11238.0
Kansas,20029.0,2678.0
Mississippi,28027.0,8231.0
Oklahoma,40029.0,2098.0
Puerto Rico,72043.0,12127.0
Georgia,13067.0,217466.0
Arizona,4003.0,39199.0
Texas,48079.0,985.0
Tennessee,47029.0,14917.0
Arizona,4005.0,52984.0
South Dakota,46029.0,10681.0
Alabama,1031.0,17216.0
Georgia,13069.0,11814.0
Tennessee,47031.0,21110.0
Kansas,20031.0,2836.0
Texas,48081.0,1121.0
Alabama,1033.0,21362.0
Missouri,29051.0,24177.0
Texas,48083.0,2035.0
Illinois,17029.0,19027.0
Nebraska,31037.0,2979.0
New Mexico,35007.0,3082.0
South Carolina,45029.0,11465.0
Florida,12021.0,105399.0
Texas,48085.0,279674.0
Texas,48087.0,893.0
Virginia,51570.0,6360.0
Texas,48089.0,4611.0
Georgia,13071.0,13687.0
Arkansas,5027.0,6797.0
Florida,12023.0,25712.0
Georgia,13073.0,43383.0
New York,36021.0,14105.0
Oregon,41009.0,10194.0
Pennsylvania,42037.0,19772.0
Washington,53013.0,767.0
Wisconsin,55021.0,19750.0
Ohio,39029.0,29913.0
North Carolina,37047.0,19276.0
California,6011.0,5387.0
Texas,48091.0,46709.0
Kansas,20033.0,548.0
Oklahoma,40031.0,39398.0
Texas,48093.0,4161.0
Puerto Rico,72045.0,6239.0
Texas,48095.0,1333.0
Louisiana,22029.0,6533.0
Alabama,1035.0,3615.0
Colorado,8021.0,2314.0
California,6013.0,296901.0
Wyoming,56009.0,3697.0
Arkansas,5029.0,6618.0
Georgia,13075.0,5736.0
Illinois,17031.0,1541156.0
Minnesota,27031.0,833.0
Texas,48097.0,8397.0
Missouri,29053.0,4802.0
New Hampshire,33007.0,8362.0
Oregon,41011.0,14989.0
Alabama,1037.0,3782.0
Mississippi,28029.0,9277.0
Puerto Rico,72047.0,12710.0
South Dakota,46031.0,1205.0
New York,36023.0,13629.0
Texas,48099.0,21365.0
Ohio,39031.0,10122.0
Colorado,8023.0,972.0
Texas,48101.0,394.0
Oklahoma,40033.0,1716.0
Minnesota,27033.0,3822.0
Alabama,1039.0,11823.0
Mississippi,28031.0,8718.0
Virginia,51580.0,1918.0
Georgia,13077.0,41345.0
Kansas,20035.0,12480.0
Washington,53015.0,27445.0
Oklahoma,40035.0,6042.0
Virginia,51045.0,1451.0
Arkansas,5031.0,47435.0
Texas,48103.0,1670.0
North Carolina,37049.0,32224.0
Arkansas,5033.0,18667.0
Georgia,13079.0,2240.0
Illinois,17033.0,7945.0
Indiana,18025.0,3110.0
Iowa,19047.0,5155.0
Kansas,20037.0,15233.0
Michigan,26039.0,3213.0
Missouri,29055.0,6613.0
Ohio,39033.0,14278.0
Pennsylvania,42039.0,25087.0
Wisconsin,55023.0,5378.0
Oklahoma,40037.0,22900.0
Alabama,1041.0,4745.0
Georgia,13081.0,5626.0
Arkansas,5035.0,16717.0
Kentucky,21055.0,2860.0
Tennessee,47033.0,6581.0
Texas,48105.0,1534.0
Oregon,41013.0,7974.0
Wyoming,56011.0,1580.0
Texas,48107.0,2079.0
Arkansas,5037.0,5761.0
Minnesota,27035.0,19471.0
Colorado,8025.0,3560.0
Texas,48109.0,579.0
Puerto Rico,72049.0,548.0
Alabama,1043.0,31575.0
Virginia,51047.0,14474.0
Illinois,17035.0,4021.0
Kentucky,21057.0,2782.0
Maine,23005.0,66810.0
New Jersey,34011.0,52987.0
North Carolina,37051.0,116482.0
