date,state,fips,cases,deaths
3/6/2021,Michigan,26,655016,16647
3/6/2021,Minnesota,27,489184,6614
3/6/2021,Mississippi,28,297321,6805
3/6/2021,Missouri,29,527836,8606
3/6/2021,Montana,30,100925,1382
3/6/2021,Nebraska,31,203084,2223
3/6/2021,Nevada,32,296030,5036
3/6/2021,New Hampshire,33,76695,1181
3/6/2021,New Jersey,34,810089,23557
3/6/2021,New Mexico,35,186742,3798
3/6/2021,New York,36,1687250,47767
3/6/2021,North Carolina,37,873169,11520
3/6/2021,North Dakota,38,100387,1479
3/6/2021,Northern Mariana Islands,69,144,2
3/6/2021,Ohio,39,977738,17502
3/6/2021,Oklahoma,40,428536,4534
3/6/2021,Oregon,41,157163,2303
3/6/2021,Pennsylvania,42,951703,24362
3/6/2021,Puerto Rico,72,134942,2059
3/6/2021,Rhode Island,44,128121,2541
3/6/2021,South Carolina,45,524457,8719
3/6/2021,South Dakota,46,113378,1898
3/6/2021,Tennessee,47,768139,11447
3/6/2021,Texas,48,2689785,45381
3/6/2021,Utah,49,374494,1975
3/6/2021,Vermont,50,15964,208
3/6/2021,Virgin Islands,78,2714,25
3/6/2021,Virginia,51,584537,9519
3/6/2021,Washington,53,347301,5107
3/6/2021,West Virginia,54,133290,2323
3/6/2021,Wisconsin,55,621277,7107
3/6/2021,Wyoming,56,54764,682
3/7/2021,Alabama,1,499819,10148
3/7/2021,Alaska,2,58870,292
3/7/2021,Arizona,4,826454,16328
3/7/2021,Arkansas,5,324818,5319
3/7/2021,California,6,3599828,54217
3/7/2021,Colorado,8,437726,6075
3/7/2021,Connecticut,9,285330,7704
3/7/2021,Delaware,10,88354,1473
3/7/2021,District of Columbia,11,41419,1030
3/7/2021,Florida,12,1944987,31682
3/7/2021,Georgia,13,998254,17348
3/7/2021,Guam,66,8718,134
3/7/2021,Hawaii,15,27821,442
3/7/2021,Idaho,16,173011,1882
3/7/2021,Illinois,17,1201760,23014
3/7/2021,Indiana,18,670500,12737
3/7/2021,Iowa,19,339672,5559
3/7/2021,Kansas,20,298900,4812
3/7/2021,Kentucky,21,414200,4962
3/7/2021,Louisiana,22,433785,9748
3/7/2021,Maine,23,45794,706
3/7/2021,Maryland,24,387501,7955
3/7/2021,Massachusetts,25,591356,16417
3/7/2021,Michigan,26,655075,16647
3/7/2021,Minnesota,27,490079,6618
3/7/2021,Mississippi,28,297581,6808
3/7/2021,Missouri,29,528102,8608
3/7/2021,Montana,30,100968,1382
3/7/2021,Nebraska,31,203304,2223
3/7/2021,Nevada,32,296267,5037
3/7/2021,New Hampshire,33,76861,1184
3/7/2021,New Jersey,34,812609,23574
3/7/2021,New Mexico,35,186922,3808
3/7/2021,New York,36,1694908,47857
3/7/2021,North Carolina,37,873169,11522
3/7/2021,North Dakota,38,100421,1479
3/7/2021,Northern Mariana Islands,69,144,2
3/7/2021,Ohio,39,978471,17502
3/7/2021,Oklahoma,40,428997,4534
3/7/2021,Oregon,41,157350,2303
3/7/2021,Pennsylvania,42,953421,24393
3/7/2021,Puerto Rico,72,135247,2059
3/7/2021,Rhode Island,44,128121,2541
3/7/2021,South Carolina,45,525865,8754
3/7/2021,South Dakota,46,113589,1900
3/7/2021,Tennessee,47,769161,11450
3/7/2021,Texas,48,2692573,45446
3/7/2021,Utah,49,374906,1976
3/7/2021,Vermont,50,16083,208
3/7/2021,Virgin Islands,78,2714,25
3/7/2021,Virginia,51,585700,9596
3/7/2021,Washington,53,347391,5108
3/7/2021,West Virginia,54,133445,2325
3/7/2021,Wisconsin,55,621654,7111
3/7/2021,Wyoming,56,54764,682
3/8/2021,Alabama,1,500092,10148
3/8/2021,Alaska,2,59210,291
3/8/2021,Arizona,4,827237,16328
3/8/2021,Arkansas,5,324951,5343
3/8/2021,California,6,3604005,54377
3/8/2021,Colorado,8,439609,6079
3/8/2021,Connecticut,9,287396,7725
3/8/2021,Delaware,10,88563,1475
3/8/2021,District of Columbia,11,41579,1035
3/8/2021,Florida,12,1948299,31763
3/8/2021,Georgia,13,999460,17389
3/8/2021,Guam,66,8720,134
3/8/2021,Hawaii,15,27862,442
3/8/2021,Idaho,16,173523,1893
3/8/2021,Illinois,17,1203008,23020
3/8/2021,Indiana,18,670975,12744
3/8/2021,Iowa,19,340128,5560
3/8/2021,Kansas,20,299503,4816
3/8/2021,Kentucky,21,414550,4970
3/8/2021,Louisiana,22,434289,9758
3/8/2021,Maine,23,45926,706
3/8/2021,Maryland,24,388217,7963
3/8/2021,Massachusetts,25,592344,16435
3/8/2021,Michigan,26,657365,16652
3/8/2021,Minnesota,27,490551,6624
3/8/2021,Mississippi,28,297651,6808
3/8/2021,Missouri,29,574365,8610
3/8/2021,Montana,30,101093,1382
3/8/2021,Nebraska,31,203546,2224
3/8/2021,Nevada,32,296457,5040
3/8/2021,New Hampshire,33,77060,1184
3/8/2021,New Jersey,34,814916,23590
3/8/2021,New Mexico,35,187040,3813
3/8/2021,New York,36,1700348,47921
3/8/2021,North Carolina,37,875966,11556
3/8/2021,North Dakota,38,100449,1479
3/8/2021,Northern Mariana Islands,69,146,2
3/8/2021,Ohio,39,979726,17502
3/8/2021,Oklahoma,40,429162,4534
3/8/2021,Oregon,41,157611,2306
3/8/2021,Pennsylvania,42,955337,24401
3/8/2021,Puerto Rico,72,135432,2065
3/8/2021,Rhode Island,44,128981,2549
3/8/2021,South Carolina,45,526716,8760
3/8/2021,South Dakota,46,113596,1901
3/8/2021,Tennessee,47,770202,11459
3/8/2021,Texas,48,2696533,45570
3/8/2021,Utah,49,375165,1977
3/8/2021,Vermont,50,16199,208
3/8/2021,Virgin Islands,78,2744,25
3/8/2021,Virginia,51,586592,9683
3/8/2021,Washington,53,348485,5129
3/8/2021,West Virginia,54,133627,2325
3/8/2021,Wisconsin,55,621842,7111
3/8/2021,Wyoming,56,54903,682
3/9/2021,Alabama,1,500616,10186
3/9/2021,Alaska,2,59299,291
3/9/2021,Arizona,4,827800,16326
3/9/2021,Arkansas,5,325383,5357
3/9/2021,California,6,3608146,54620
3/9/2021,Colorado,8,440479,6084
3/9/2021,Connecticut,9,288145,7739
3/9/2021,Delaware,10,88679,1482
3/9/2021,District of Columbia,11,41910,1036
3/9/2021,Florida,12,1952725,31888
3/9/2021,Georgia,13,1001341,17418
3/9/2021,Guam,66,8721,134
3/9/2021,Hawaii,15,27903,442
3/9/2021,Idaho,16,173922,1894
3/9/2021,Illinois,17,1204693,23039
3/9/2021,Indiana,18,671570,12762
3/9/2021,Iowa,19,340891,5575
3/9/2021,Kansas,20,299523,4816
3/9/2021,Kentucky,21,415393,5001
3/9/2021,Louisiana,22,434926,9769
3/9/2021,Maine,23,46059,723
3/9/2021,Maryland,24,388848,7988
3/9/2021,Massachusetts,25,593607,16456
3/9/2021,Michigan,26,658967,16683
3/9/2021,Minnesota,27,492176,6764
3/9/2021,Mississippi,28,298008,6834
3/9/2021,Missouri,29,575066,8715
3/9/2021,Montana,30,101229,1386
3/9/2021,Nebraska,31,203806,2221
3/9/2021,Nevada,32,296872,5054
3/9/2021,New Hampshire,33,77252,1185
3/9/2021,New Jersey,34,819042,23635
3/9/2021,New Mexico,35,187238,3832
3/9/2021,New York,36,1707181,48000
3/9/2021,North Carolina,37,877212,11577
3/9/2021,North Dakota,38,100544,1479
3/9/2021,Northern Mariana Islands,69,146,2
3/9/2021,Ohio,39,981619,17662
3/9/2021,Oklahoma,40,429432,4701
3/9/2021,Oregon,41,158029,2309
3/9/2021,Pennsylvania,42,958266,24445
3/9/2021,Puerto Rico,72,135552,2066
3/9/2021,Rhode Island,44,129277,2556
3/9/2021,South Carolina,45,527348,8763
3/9/2021,South Dakota,46,113753,1901
3/9/2021,Tennessee,47,771292,11489
3/9/2021,Texas,48,2701913,45754
3/9/2021,Utah,49,375725,1990
3/9/2021,Vermont,50,16286,211
3/9/2021,Virgin Islands,78,2744,25
3/9/2021,Virginia,51,588129,9790
3/9/2021,Washington,53,349196,5141
3/9/2021,West Virginia,54,133856,2326
3/9/2021,Wisconsin,55,622444,7138
3/9/2021,Wyoming,56,54972,691
3/10/2021,Alabama,1,501398,10222
3/10/2021,Alaska,2,59451,291
3/10/2021,Arizona,4,828630,16404
3/10/2021,Arkansas,5,325700,5382
3/10/2021,California,6,3611614,54877
3/10/2021,Colorado,8,441611,6092
3/10/2021,Connecticut,9,288657,7752
3/10/2021,Delaware,10,88891,1492
3/10/2021,District of Columbia,11,42006,1037
3/10/2021,Florida,12,1957578,31947
3/10/2021,Georgia,13,1003181,17491
3/10/2021,Guam,66,8725,134
3/10/2021,Hawaii,15,27944,445
3/10/2021,Idaho,16,174381,1903
3/10/2021,Illinois,17,1206362,23067
3/10/2021,Indiana,18,672439,12775
3/10/2021,Iowa,19,341378,5602
3/10/2021,Kansas,20,300261,4851
3/10/2021,Kentucky,21,416402,5026
3/10/2021,Louisiana,22,435514,9812
3/10/2021,Maine,23,46254,723
3/10/2021,Maryland,24,389748,8002
3/10/2021,Massachusetts,25,595264,16509
3/10/2021,Michigan,26,661607,16690
3/10/2021,Minnesota,27,493081,6773
3/10/2021,Mississippi,28,298445,6845
3/10/2021,Missouri,29,575719,8728
3/10/2021,Montana,30,101374,1388
3/10/2021,Nebraska,31,204144,2231
3/10/2021,Nevada,32,297203,5069
3/10/2021,New Hampshire,33,77463,1187
3/10/2021,New Jersey,34,822817,23691
3/10/2021,New Mexico,35,187487,3841
3/10/2021,New York,36,1713287,48092
3/10/2021,North Carolina,37,879027,11628
3/10/2021,North Dakota,38,100645,1481
3/10/2021,Northern Mariana Islands,69,146,2
3/10/2021,Ohio,39,983487,17662
3/10/2021,Oklahoma,40,430250,4701
3/10/2021,Oregon,41,158360,2314
3/10/2021,Pennsylvania,42,960877,24485
3/10/2021,Puerto Rico,72,135552,2067
3/10/2021,Rhode Island,44,129595,2559
3/10/2021,South Carolina,45,528473,8781
3/10/2021,South Dakota,46,113962,1904
3/10/2021,Tennessee,47,772634,11506
3/10/2021,Texas,48,2707234,45956
3/10/2021,Utah,49,376384,1992
3/10/2021,Vermont,50,16371,211
3/10/2021,Virgin Islands,78,2755,25
3/10/2021,Virginia,51,589375,9849
3/10/2021,Washington,53,349881,5159
3/10/2021,West Virginia,54,134158,2330
3/10/2021,Wisconsin,55,623150,7151
3/10/2021,Wyoming,56,55014,691
3/11/2021,Alabama,1,502263,10274
3/11/2021,Alaska,2,59689,291
3/11/2021,Arizona,4,830465,16464
3/11/2021,Arkansas,5,326040,5410
3/11/2021,California,6,3615174,55132
3/11/2021,Colorado,8,442599,6108
3/11/2021,Connecticut,9,289392,7761
3/11/2021,Delaware,10,89680,1494
3/11/2021,District of Columbia,11,42128,1038
3/11/2021,Florida,12,1962643,32039
3/11/2021,Georgia,13,1004918,17570
3/11/2021,Guam,66,8727,134
3/11/2021,Hawaii,15,27998,445
3/11/2021,Idaho,16,174729,1909
3/11/2021,Illinois,17,1208072,23122
3/11/2021,Indiana,18,673349,12802
3/11/2021,Iowa,19,341837,5622
3/11/2021,Kansas,20,300302,4851
3/11/2021,Kentucky,21,417631,5052
3/11/2021,Louisiana,22,435935,9828
3/11/2021,Maine,23,46441,723
3/11/2021,Maryland,24,390672,8014
3/11/2021,Massachusetts,25,597073,16551
3/11/2021,Michigan,26,664079,16712
3/11/2021,Minnesota,27,494174,6792
3/11/2021,Mississippi,28,299124,6864
3/11/2021,Missouri,29,576523,8743
3/11/2021,Montana,30,101561,1392
3/11/2021,Nebraska,31,204417,2234
3/11/2021,Nevada,32,297813,5080
3/11/2021,New Hampshire,33,77764,1191
3/11/2021,New Jersey,34,826631,23737
3/11/2021,New Mexico,35,187720,3847
3/11/2021,New York,36,1720456,48208
3/11/2021,North Carolina,37,881110,11649
3/11/2021,North Dakota,38,100757,1485
3/11/2021,Northern Mariana Islands,69,146,2
3/11/2021,Ohio,39,984934,17662
3/11/2021,Oklahoma,40,430944,4701
3/11/2021,Oregon,41,158649,2323
3/11/2021,Pennsylvania,42,963552,24533
3/11/2021,Puerto Rico,72,135666,2071
3/11/2021,Rhode Island,44,130120,2563
3/11/2021,South Carolina,45,529392,8822
3/11/2021,South Dakota,46,114163,1905
3/11/2021,Tennessee,47,773907,11520
3/11/2021,Texas,48,2713387,46168
3/11/2021,Utah,49,377031,2015
3/11/2021,Vermont,50,16500,211
3/11/2021,Virgin Islands,78,2761,25
3/11/2021,Virginia,51,590625,9902
3/11/2021,Washington,53,350661,5167
3/11/2021,West Virginia,54,134496,2338
